"species"
"Acer_platanoides"
"Achillea_millefolium"
"Achillea_ptarmica"
"Aconitum_lycoctonum"
"Adoxa_moschatellina"
"Aegopodium_podagraria"
"Agrostis_canina"
"Agrostis_capillaris"
"Agrostis_mertensii"
"Ajuga_pyramidalis"
"Alchemilla"
"Alchemilla_alpina"
"Alchemilla_borealis"
"Alchemilla_glabra"
"Alchemilla_glaucescens"
"Alchemilla_monticola"
"Alchemilla_subcrenata"
"Allium_schoenoprasum"
"Alnus_incana"
"Alopecurus_aequalis"
"Alopecurus_geniculatus"
"Alopecurus_pratensis"
"Andromeda_polifolia"
"Anemone_nemorosa"
"Angelica_sylvestris"
"Antennaria_alpina"
"Antennaria_canescens"
"Antennaria_lanata"
"Antennaria_porsildii"
"Anthoxanthum_monticola"
"Anthoxanthum_nipponicum"
"Anthoxanthum_nitens"
"Anthoxanthum_odoratum"
"Anthriscus_sylvestris"
"Anthyllis_vulneraria"
"Aquilegia_vulgaris"
"Arabidopsis_arenosa"
"Arabidopsis_lyrata"
"Arabidopsis_suecica"
"Arabis_alpina"
"Arabis_hirsuta"
"Arctostaphylos_uva_ursi"
"Arctous_alpina"
"Arenaria_humifusa"
"Arenaria_norvegica"
"Arenaria_serpyllifolia"
"Argentina_anserina"
"Armeria_scabra"
"Arnica_angustifolia"
"Artemisia_norvegica"
"Artemisia_vulgaris"
"Asperugo_procumbens"
"Asplenium_ruta_muraria"
"Asplenium_viride"
"Astragalus_alpinus"
"Astragalus_frigidus"
"Astragalus_norvegicus"
"Athyrium_distentifolium"
"Athyrium_filix_femina"
"Avenula_pubescens"
"Barbarea_stricta"
"Barbarea_vulgaris"
"Betula_nana"
"Betula_pendula"
"Botrychium_boreale"
"Botrychium_lanceolatum"
"Botrychium_lunaria"
"Botrychium_multifidum"
"Braya_linearis"
"Bromus_inermis"
"Calamagrostis_arundinacea"
"Calamagrostis_canescens"
"Calamagrostis_chalybaea"
"Calamagrostis_epigejos"
"Calamagrostis_lapponica"
"Calamagrostis_neglecta"
"Callitriche_brutia"
"Callitriche_hermaphroditica"
"Callitriche_palustris"
"Calluna_vulgaris"
"Campanula_barbata"
"Campanula_glomerata"
"Campanula_latifolia"
"Campanula_persicifolia"
"Campanula_rapunculoides"
"Campanula_uniflora"
"Capsella_bursa_pastoris"
"Cardamine_amara"
"Cardamine_bellidifolia"
"Cardamine_flexuosa"
"Carduus_crispus"
"Carex_appropinquata"
"Carex_aquatilis"
"Carex_arctogena"
"Carex_atrata"
"Carex_atrofusca"
"Carex_bicolor"
"Carex_bigelowii"
"Carex_capitata"
"Carex_cespitosa"
"Carex_chordorrhiza"
"Carex_diandra"
"Carex_digitata"
