name;category;B/AA
Lamium amplexicaule;Boreal;B
Lamium purpureum;Boreal;B
Lappula deflexa;Arc-alp;AA
Lapsana communis;Boreal;B
Lathyrus linifolius;Boreal;B
Lathyrus palustris;Boreal;B
Lathyrus pratensis;Boreal;B
Lathyrus sylvestris;Boreal;B
Lathyrus vernus;Boreal;B
Lemna minor;Boreal;B
Lemna trisulca;Boreal;B
Leucanthemum vulgare;Boreal;B
Leymus arenarius;Boreal;B
Linaria vulgaris;Boreal;B
Linnaea borealis;Boreal;B
Lobelia dortmanna;Boreal;B
Lolium multiflorum;Boreal;B
Lolium perenne;Boreal;B
Lonicera xylosteum;Boreal;B
Lotus corniculatus;Boreal;B
Luzula arctica;Arc;AA
Luzula arcuata;Arc;AA
Luzula confusa;Arc-alp;AA
Luzula multiflora;Boreal;B
Luzula pallescens;Boreal;B
Luzula parviflora;Arc;AA
Luzula pilosa;Boreal;B
Luzula spicata;Arc-alp;AA
Luzula sudetica;Boreal;B
Luzula wahlenbergii;Arc;AA
Lycopodiella inundata;Boreal;B
Lycopodium clavatum;Boreal;B
Lysimachia europaea;Boreal;B
Lysimachia thyrsiflora;Boreal;B
Lysimachia vulgaris;Boreal;B
Lythrum salicaria;Boreal;B
Maianthemum bifolium;Boreal;B
Malaxis monophyllos;Boreal;B
Malva pusilla;Boreal;B
Matricaria chamomilla;Boreal;B
Matricaria discoidea;Boreal;B
Matteuccia struthiopteris;Boreal;B
Medicago lupulina;Boreal;B
Melampyrum pratense;Boreal;B
Melampyrum sylvaticum;Boreal;B
Melica nutans;Boreal;B
Melilotus albus;Boreal;B
Melilotus officinalis;Boreal;B
Mentha arvensis;Boreal;B
Menyanthes trifoliata;Boreal;B
Micranthes foliolosa;Arc;AA
Micranthes hieracifolia;Arc-alp;AA
Micranthes nivalis;Arc-alp;AA
Micranthes stellaris;Arc-alp;AA
Micranthes tenuis;Arc;AA
Milium effusum;Boreal;B
Moehringia lateriflora;Boreal;B
Moehringia trinervia;Boreal;B
Molinia caerulea;Boreal;B
Moneses uniflora;Boreal;B
Montia fontana;Boreal;B
Myosotis arvensis;Boreal;B
Myosotis decumbens;Arc-alp;AA
Myosotis laxa;Boreal;B
Myosotis nemorosa;Boreal;B
Myosotis scorpioides;Boreal;B
Myosotis stricta;Boreal;B
Myosotis sylvatica;Boreal;B
Myrica gale;Boreal;B
Myricaria germanica;Boreal;B
