X1,comm,n_sp,n_tr,FDpg,FDw,FDwcomm,qual.FD,nbsp,sing.sp,FRic,qual.FRic,FEve,FDiv,FDis,RaoQ,CWM.Seed_mass,CWM.Height,CWM.LDMC,CWM.SLA,CWM.Leaf_nitrogen,CWM.Leaf_area,CWM.Leaf_phosphorus
site4301,23,8,7,1.5771445203578194,1.5771445203578194,1.5771445203578194,0.6677380643333702,8,8,16.42957883965205,0.6633918675346904,0.875262073077182,0.7517306979511885,2.588712769622637,7.566149908685953,-1.476980288022234,-0.04957709888031317,0.0307811048357209,0.07239276876199678,0.29133830371913605,-0.17798705787511265,-0.43051029402514046
site4494,24,58,7,6.9535702661168175,6.9535702661168175,6.9535702661168175,0.6677380643333702,58,58,37.15484634757726,0.6633918675346904,0.8505953080243147,0.7094016413323841,2.5062526405506658,7.320985972458277,-1.535814432850266,-0.3029319786794724,0.12566723532881632,0.046370281549352625,-0.02369301651074469,-0.36282459611775,-0.05566640856727832
site4692,25,1,7,0.3913329616851584,0.3913329616851584,0.3913329616851584,0.6677380643333702,1,1,NA,0.6633918675346904,NA,NA,0,0,-0.29740366245636873,1.0754848917766051,0.17378597025659362,1.879557934539802,0.26428852956751986,1.3946877594642662,0.9400385821526444
site4883,26,1,7,0.3913329616851584,0.3913329616851584,0.3913329616851584,0.6677380643333702,1,1,NA,0.6633918675346904,NA,NA,0,0,-3.2188758248682006,0.18977097753213842,-0.3205301375403829,-0.7756422788126602,-0.5537886718655066,-0.14845759634475192,-0.3666545553776025
site5074,27,1,7,0.3913329616851584,0.3913329616851584,0.3913329616851584,0.6677380643333702,1,1,NA,0.6633918675346904,NA,NA,0,0,-2.385966701933097,-0.02592622576562944,-0.309534956777349,0.32982477472995464,-0.5949440269536019,0.5540933966158712,0.6851155302166311
site5268,28,3,7,0.7813174128644065,0.7813174128644065,0.7813174128644065,0.6677380643333702,3,3,2.1134159280884344,0.6633918675346904,0.9418644174287327,0.9600177404724956,1.6229610927521836,2.649846502539569,-0.3469972339915609,-0.13950471331516495,-0.5753674584660436,0.6125958294134215,1.8793303356278745,0.07653354656089822,0.5335549613818589
site5460,29,3,7,0.8220642899107067,0.8220642899107067,0.8220642899107067,0.6677380643333702,3,3,0.993417251820498,0.6633918675346904,0.7988832128434344,0.6797642697688603,2.1271045432871385,4.882983419709945,-0.7309142537614576,0.3173727627130394,-0.23367161712930987,-0.20650897662382073,0.09828875051645665,0.4056273811019317,-0.37222799278371177
site5655,30,58,7,6.885597477760065,6.885597477760065,6.885597477760065,0.6677380643333702,58,58,33.188069154883735,0.6633918675346904,0.8783431530512593,0.7161621743927936,2.47575272486143,6.9300867088565195,-1.4798352683956084,-0.22033298972817877,0.14932391388229702,0.015884147922474477,-0.007567096352504158,-0.22512545322573524,-0.08256797598579754
site5847,31,8,7,1.6509118500146516,1.6509118500146516,1.6509118500146516,0.6677380643333702,8,8,16.42957883965205,0.6633918675346904,0.873305035154259,0.7577598456854027,2.6647498362753437,7.8220722345134055,-1.7460956408103263,0.11742812953094854,-0.022891008699046013,0.3107908675888028,0.2160600669836131,-0.34901049232554726,-0.20120550951965277
site6233,32,57,7,6.561627012901022,6.561627012901022,6.561627012901022,0.6677380643333702,57,57,31.26107285288491,0.6633918675346904,0.8827693734303517,0.7183496578638937,2.3978348877270923,6.5018525874407596,-1.4954887514880022,-0.2771637341141555,0.10948181257412114,-0.00820447170114854,0.03692665360739527,-0.31312441609075775,-0.07441137507585883
site6429,33,12,7,2.166304540926188,2.166304540926188,2.166304540926188,0.6677380643333702,12,12,15.394513483726291,0.6633918675346904,0.8963512787179037,0.6773092779599851,2.3826653750818276,6.521619866420594,-1.3203846780203348,-0.011886241211439566,-0.08596314751626721,0.2822364033347113,0.3736341860125966,-0.23996927056503733,0.058277298779586525
site6620,34,5,7,1.142616798700518,1.142616798700518,1.142616798700518,0.6677380643333702,5,5,5.214140266461213,0.6633918675346904,0.8871988898385075,0.7013976875614265,2.3067827775843215,5.724725958341804,-1.3421886953886426,0.29326282737604537,0.35792698312133786,-0.26687993917407765,0.5778637025776348,0.37542809491728873,-0.2596918564426093
site6814,35,24,7,3.2699583132528725,3.2699583132528725,3.2699583132528725,0.6677380643333702,24,24,23.33198445192326,0.6633918675346904,0.8748488335183927,0.6746069993117317,2.356555463264315,6.469313992884028,-1.0749169689315483,-0.21085914600470917,0.276059212478787,-0.12686569036497283,0.004144479408875941,-0.04428345678658919,-0.1470862557425679
site7007,36,14,7,2.378710788732761,2.378710788732761,2.378710788732761,0.6677380643333702,14,14,17.40775236746587,0.6633918675346904,0.858957010344877,0.6995901700220798,2.5171190168210917,7.4615700944381125,-1.14608529134218,0.13651355466533208,0.051697114112832385,0.07184327069826787,0.7054429208184502,0.08208074237766473,0.1910922291033246
site7198,37,7,7,1.3818121724923242,1.3818121724923242,1.3818121724923242,0.6677380643333702,7,7,10.906248576326961,0.6633918675346904,0.8437871137339008,0.8506846152811872,2.4054952430210648,6.250068774743826,-1.3966601724750705,0.15088580868912913,-0.06658444527936039,0.2939798647142167,0.37885227958830636,-0.1875665722139078,-0.3556753971570992
site7392,38,55,7,6.6576729876348,6.6576729876348,6.6576729876348,0.6677380643333702,55,55,29.77484218394473,0.6633918675346904,0.8884691505286125,0.7129180679276762,2.4181587781741665,6.558817545062388,-1.4564883414994474,-0.17430652042684222,0.12966199038246518,-0.05764948109239392,0.022287143433307136,-0.1965549184123314,-0.07302676651458967
site7584,39,9,7,1.6504196842708816,1.6504196842708816,1.6504196842708816,0.6677380643333702,9,9,9.408845977531996,0.6633918675346904,0.923243814375322,0.7798682788637559,2.246984368251311,5.518498556354822,-1.2666059066257689,0.029880132627480516,-0.3733088312676711,0.3088665026031591,0.5327048290797005,-0.1336978498716896,0.2807312976575942
site7775,40,33,7,4.628024825224657,4.628024825224657,4.628024825224657,0.6677380643333702,33,33,28.508202616319767,0.6633918675346904,0.9067347307796539,0.7006171200214816,2.4742977805445476,7.030657276628049,-1.5656263396017964,-0.4241243937619217,0.17011174287281675,1.8675080829783108e-4,0.09063347975224088,-0.49954900877905806,-0.0833200790753798
site7968,41,41,7,5.153029434716028,5.153029434716028,5.153029434716028,0.6677380643333702,41,41,29.63780426928094,0.6633918675346904,0.8890978785212386,0.6911865354361773,2.405697804363191,6.686980804740431,-1.2682323473647905,-0.18723422522335956,0.24158861773915824,-0.11788828327323356,-0.14637006333764024,-0.17016141168465568,-0.12143829028881828
