X1,comm,n_sp,n_tr,FDpg,FDw,FDwcomm,qual.FD,nbsp,sing.sp,FRic,qual.FRic,FEve,FDiv,FDis,RaoQ,CWM.Height,CWM.Seed_mass,CWM.LDMC,CWM.SLA,CWM.Leaf_nitrogen,CWM.Leaf_area,CWM.Leaf_phosphorus
site3337,18,14,7,2.0769953045591034,2.0769953045591034,2.0769953045591034,0.6520936290889294,14,14,17.98312013442922,0.597248951486192,0.9131239881551998,0.678561525101548,2.4637781417999114,6.7734065742400835,-0.0476979711818092,-0.11939130797903794,0.07753220317194198,0.08789308982102444,0.0129377786831995,0.37789140679735184,0.19078973172760097
site3528,19,12,7,1.7489074922761982,1.7489074922761982,1.7489074922761982,0.6520936290889294,12,12,9.056500942333136,0.597248951486192,0.7776531828008214,0.6076590366420654,1.9879896370089147,5.406150606082665,-0.3615980311382459,-0.01332239793057902,0.1948985452718686,-0.2666206672358257,-0.2858884067412541,-0.7278587088710557,-0.549158456549573
site3724,20,3,7,0.5562182161464164,0.5562182161464164,0.5562182161464164,0.6520936290889294,3,3,0.6133401999239791,0.597248951486192,0.6187331807035696,0.7184703093198079,1.8003245834544217,3.5021332899810704,-1.2150829288003608,-0.016916357864086337,1.1343428274488419,-0.7595302784448307,-0.5174506632633281,-0.8452555246210866,-0.4335019610455418
site3916,21,8,7,1.2049505998930616,1.2049505998930616,1.2049505998930616,0.6520936290889294,8,8,10.919693064913659,0.597248951486192,0.8215863896575658,0.6622034118423249,2.2238839793894276,6.0919084692063334,-0.3862142189751713,-0.16726824236657375,-0.009541396193158467,0.07353786143883115,-0.047813760288032595,0.6422752639727056,0.3849807898336889
site4108,22,8,7,1.085465610974811,1.085465610974811,1.085465610974811,0.6520936290889294,8,8,5.169625106652896,0.597248951486192,0.9014736358048049,0.6998358253048076,1.8026001279824604,3.5749698059170174,-0.6439365511832303,-0.3494748427758002,0.4035863759830347,-0.2466839600299253,-0.6261002478197747,-0.5951555382202156,-0.5597055738632694
site4301,23,4,7,0.6936883676338172,0.6936883676338172,0.6936883676338172,0.6520936290889294,4,4,1.65184275184009,0.597248951486192,0.8347260436504704,0.7009538608210746,1.7726657350965045,3.349621928816448,-1.0328699137320676,-0.16204180001429114,0.961263697140925,-0.408014873665216,-0.4984364569179434,-1.0009989829770134,-0.5262775699890964
site4494,24,13,7,1.8767889179296542,1.8767889179296542,1.8767889179296542,0.6520936290889294,13,13,15.852587746229014,0.597248951486192,0.865116125019953,0.6757381652719558,2.395654419831165,6.64308343381565,-0.11620521903643241,0.6640633428649879,-0.11968182004622714,-0.2854869923616738,-0.006912051759203853,0.13632389355982258,-0.017052612418088253
site4692,25,34,7,4.159268034670898,4.159268034670898,4.159268034670898,0.6520936290889294,34,34,21.83634127470894,0.597248951486192,0.9060500567769422,0.7111585240064496,2.5439918928223832,7.192407541470922,-0.08559371335799398,-0.2302491241073791,0.041698216175282306,-0.004204351121387379,0.09422445450619493,0.1348427873948902,0.08504279302546511
site4883,26,8,7,1.3339917361938947,1.3339917361938947,1.3339917361938947,0.6520936290889294,8,8,5.028566752250231,0.597248951486192,0.9044422549136716,0.7112389317221564,2.0170264227143115,4.7805202451999405,0.037350606915550394,0.0745554025723762,0.04139809578727055,-0.7054450327850245,-0.21390805644212513,-0.14294196796904024,-0.2944424613803257
site5074,27,22,7,2.671877321817244,2.671877321817244,2.671877321817244,0.6520936290889294,22,22,15.00979805242595,0.597248951486192,0.836645019516701,0.6625414941533547,1.9689686542394,4.655488785525442,-0.10848602344738291,0.13074910492215208,0.6775316579657641,-0.477444994014797,-0.5021553003246341,-0.3328098765863706,-0.8741302076935147
site5268,28,3,7,0.5105016990230953,0.5105016990230953,0.5105016990230953,0.6520936290889294,3,3,0.4461086743361841,0.597248951486192,0.8170700324694313,0.8393506024242863,1.2311443554973964,1.5492639218900939,-0.5788916696990132,0.37248141627966785,-0.5090185466079045,-0.5361176119825537,0.3132133040635098,0.36658776970095625,-0.1948508091697189
site5460,29,26,7,3.268267295727274,3.268267295727274,3.268267295727274,0.6520936290889294,26,26,25.551485224537853,0.597248951486192,0.8059822339447983,0.6181265902297154,2.1928852989569574,6.164948900233128,-0.1231404694377972,0.01857125467563231,0.6837098929840513,-0.4915136377724621,-0.5193754691423877,-0.7637467911232819,-0.5468240763167188
site5655,30,11,7,1.6442416861038092,1.6442416861038092,1.6442416861038092,0.6520936290889294,11,11,5.400625338002756,0.597248951486192,0.90822525508265,0.6515420073890239,2.2327967066330427,5.688663591332878,-0.3238596067246434,-0.14454138690870444,0.05140269273457115,0.04978007296301809,0.010744905064159779,0.01014729605433822,0.16449614775686472
site5847,31,3,7,0.5562182161464164,0.5562182161464164,0.5562182161464164,0.6520936290889294,3,3,0.6133401999239791,0.597248951486192,0.6187331807035696,0.7184703093198079,1.8003245834544217,3.5021332899810704,-1.2150829288003608,-0.016916357864086337,1.1343428274488419,-0.7595302784448307,-0.5174506632633281,-0.8452555246210866,-0.4335019610455418
site6039,32,10,7,1.6425210340192333,1.6425210340192333,1.6425210340192333,0.6520936290889294,10,10,13.205363503592125,0.597248951486192,0.761522226063145,0.6267846174604204,2.364933187885035,7.160931834748322,-0.3281361377219052,0.29398763385113813,-0.3925464387468658,-0.07248361961368299,0.7279561506224095,-0.541433301378611,0.2503847933678508
site6233,33,6,7,0.9971506180364794,0.9971506180364794,0.9971506180364794,0.6520936290889294,6,6,3.666636046220408,0.597248951486192,0.89771916047816,0.7059475661998833,2.124529322422878,5.003043694658505,-0.8833352023250114,0.19893043029725008,0.6814432853886226,-0.3522725256581889,-0.1344236676255307,-0.706438371478522,-0.10793498298269476
